W	E1	E2
1186.5	-0.458277	0.000507682
1191.24	-0.40458	0.000499767
1195.98	-0.343356	0.000493577
1200.72	-0.294612	0.000488873
1205.47	-0.240859	0.000485466
1210.21	-0.187851	0.000483204
1214.95	-0.135957	0.000481958
1219.69	-0.0825596	0.000481618
1224.44	-0.0263294	0.000482086
1229.18	0.0256809	0.00048327
1233.92	0.0879002	0.000485079
1238.67	0.15131	0.00048742
1243.41	0.219059	0.000490195
1248.15	0.287685	0.000493299
1252.89	0.357512	0.000496616
1257.64	0.429365	0.000500021
1262.38	0.501816	0.000503379
1267.12	0.578171	0.000506546
1271.86	0.661813	0.000509376
1276.61	0.738578	0.000511722
1281.35	0.815596	0.000513444
1286.09	0.885165	0.000514413
1290.84	0.946841	0.000514524
1295.58	1.00296	0.000513697
1300.32	1.05624	0.000511885
1305.06	1.1049	0.000509077
1309.81	1.15376	0.000505295
1314.55	1.20066	0.000500601
1319.29	1.24791	0.000495083
1324.04	1.29599	0.000488855
1328.78	1.34352	0.000482049
1333.52	1.391	0.000474809
1338.26	1.43941	0.000467283
1343.01	1.48333	0.000459619
1347.75	1.52671	0.000451962
1352.49	1.5645	0.00044445
1357.23	1.59793	0.000437218
1361.98	1.62851	0.000430398
1366.72	1.65571	0.00042412
1371.46	1.68005	0.000418524
1376.21	1.70277	0.000413761
1380.95	1.72207	0.000410007
1385.69	1.7425	0.000407476
1390.43	1.76132	0.00040643
1395.18	1.78083	0.000407199
1399.92	1.79962	0.00041019
1404.66	1.81859	0.000415871
1409.41	1.83742	0.000424709
1414.15	1.8559	0.000436971
1418.89	1.87667	0.000452292
1423.63	1.89914	0.000468976
1428.38	1.92258	0.000483355
1433.12	1.95015	0.000490291
1437.86	1.97472	0.000485736
1442.6	1.99904	0.000469729
1447.35	2.02026	0.00044635
1452.09	2.03338	0.000420703
1456.83	2.03936	0.000396387
1461.58	2.04849	0.000375039
1466.32	2.05508	0.000356979
1471.06	2.06571	0.000341916
1475.8	2.07893	0.000329363
1480.55	2.09286	0.00031884
1485.29	2.10715	0.000309931
1490.03	2.12218	0.000302306
1494.77	2.13906	0.000295705
1499.52	2.15892	0.000289927
1504.26	2.1757	0.000284817
1509	2.19197	0.000280257
1513.75	2.2061	0.000276151
1518.49	2.21744	0.000272426
1523.23	2.22878	0.000269025
1527.97	2.24154	0.000265899
1532.72	2.25511	0.000263011
1537.46	2.26797	0.00026033
1542.2	2.28116	0.000257831
1546.95	2.29295	0.000255492
1551.69	2.30392	0.000253295
1556.43	2.31375	0.000251227
1561.17	2.32158	0.000249272
1565.92	2.3288	0.000247422
1570.66	2.3392	0.000245666
1575.4	2.35205	0.000243997
1580.14	2.36218	0.000242406
1584.89	2.37085	0.000240888
1589.63	2.37914	0.000239438
1594.37	2.38676	0.000238049
1599.12	2.39418	0.000236719
1603.86	2.40156	0.000235442
1608.6	2.40866	0.000234216
1613.34	2.41492	0.000233037
1618.09	2.41991	0.000231902
1622.83	2.426	0.000230809
1627.57	2.43286	0.000229755
1632.32	2.43922	0.000228739
1637.06	2.44482	0.000227757
1641.8	2.45019	0.000226809
1646.54	2.4559	0.000225892
1651.29	2.46161	0.000225005
1656.03	2.46728	0.000224147
1660.77	2.47261	0.000223316
1665.51	2.47852	0.000222511
1670.26	2.48513	0.00022173
1675	2.49163	0.000220973
1679.74	2.49804	0.000220239
1684.49	2.5044	0.000219527
1689.23	2.50993	0.000218835
1693.97	2.51459	0.000218163
1698.71	2.52095	0.000217511
1703.46	2.53013	0.000216877
1708.2	2.53647	0.00021626
1712.94	2.53978	0.000215661
1717.68	2.54221	0.000215078
1722.43	2.54422	0.000214511
1727.17	2.54497	0.000213959
1731.91	2.54797	0.000213422
1736.66	2.55152	0.000212899
1741.4	2.55685	0.00021239
1746.14	2.56505	0.000211894
1750.88	2.57212	0.000211412
1755.63	2.57797	0.000210941
1760.37	2.58334	0.000210483
1765.11	2.5887	0.000210036
1769.86	2.594	0.000209601
1774.6	2.5993	0.000209176
1779.34	2.60477	0.000208762
1784.08	2.60991	0.000208359
1788.83	2.61472	0.000207965
1793.57	2.61957	0.000207582
1798.31	2.62467	0.000207208
1803.05	2.62996	0.000206843
1807.8	2.63488	0.000206487
1812.54	2.63967	0.000206139
1817.28	2.6446	0.0002058
1822.03	2.65022	0.00020547
1826.77	2.65508	0.000205147
1831.51	2.65943	0.000204832
1836.25	2.66323	0.000204525
1841	2.66609	0.000204225
1845.74	2.66796	0.000203933
1850.48	2.67047	0.000203647
1855.23	2.67323	0.000203369
1859.97	2.6754	0.000203097
1864.71	2.67663	0.000202831
1869.45	2.67789	0.000202572
1874.2	2.67912	0.000202319
1878.94	2.68012	0.000202073
1883.68	2.68114	0.000201832
1888.42	2.68163	0.000201597
1893.17	2.68282	0.000201367
1897.91	2.68392	0.000201143
1902.65	2.68591	0.000200925
1907.4	2.68902	0.000200712
1912.14	2.6922	0.000200504
1916.88	2.69475	0.000200301
1921.62	2.69697	0.000200103
1926.37	2.7002	0.00019991
1931.11	2.70451	0.000199721
1935.85	2.70827	0.000199537
1940.59	2.71213	0.000199358
1945.34	2.71566	0.000199183
1950.08	2.71897	0.000199012
1954.82	2.72216	0.000198846
1959.57	2.72521	0.000198684
1964.31	2.72828	0.000198525
1969.05	2.73083	0.000198371
1973.79	2.73288	0.000198221
1978.54	2.73497	0.000198074
1983.28	2.73703	0.000197931
1988.02	2.73892	0.000197792
1992.77	2.74051	0.000197657
1997.51	2.74179	0.000197525
2002.25	2.74317	0.000197396
2006.99	2.74432	0.000197271
2011.74	2.74558	0.000197149
2016.48	2.74654	0.00019703
2021.22	2.74781	0.000196915
2025.96	2.74927	0.000196802
2030.71	2.75084	0.000196693
2035.45	2.75254	0.000196586
2040.19	2.75424	0.000196483
2044.94	2.75634	0.000196382
2049.68	2.75883	0.000196285
2054.42	2.76128	0.00019619
2059.16	2.76375	0.000196097
2063.91	2.76633	0.000196008
2068.65	2.76912	0.000195921
2073.39	2.77209	0.000195836
2078.14	2.77501	0.000195754
2082.88	2.77805	0.000195675
2087.62	2.78111	0.000195597
2092.36	2.78443	0.000195523
2097.11	2.78751	0.00019545
2101.85	2.79041	0.00019538
2106.59	2.7933	0.000195312
2111.33	2.79631	0.000195247
2116.08	2.79945	0.000195183
2120.82	2.8024	0.000195122
2125.56	2.80532	0.000195062
2130.31	2.80814	0.000195005
2135.05	2.81095	0.00019495
2139.79	2.81366	0.000194896
2144.53	2.81628	0.000194845
2149.28	2.81884	0.000194795
2154.02	2.82137	0.000194748
2158.76	2.82388	0.000194702
2163.5	2.82633	0.000194658
2168.25	2.82871	0.000194615
2172.99	2.83115	0.000194575
2177.73	2.83372	0.000194536
2182.48	2.83623	0.000194498
2187.22	2.83862	0.000194463
2191.96	2.84095	0.000194429
2196.7	2.84337	0.000194396
2201.45	2.84593	0.000194365
2206.19	2.84832	0.000194336
2210.93	2.85065	0.000194308
2215.68	2.8529	0.000194281
2220.42	2.85509	0.000194256
2225.16	2.85721	0.000194233
2229.9	2.85926	0.00019421
2234.65	2.86124	0.000194189
2239.39	2.86315	0.00019417
2244.13	2.86503	0.000194151
2248.87	2.86672	0.000194134
2253.62	2.8681	0.000194119
2258.36	2.86957	0.000194104
2263.1	2.87122	0.000194091
2267.85	2.87294	0.000194079
2272.59	2.87456	0.000194068
2277.33	2.8761	0.000194058
2282.07	2.87765	0.000194049
2286.82	2.87913	0.000194041
2291.56	2.88068	0.000194035
2296.3	2.88225	0.000194029
2301.05	2.88386	0.000194025
2305.79	2.88552	0.000194021
2310.53	2.88724	0.000194019
2315.27	2.88882	0.000194017
2320.02	2.8902	0.000194017
2324.76	2.89184	0.000194017
2329.5	2.89382	0.000194018
2334.24	2.89569	0.000194021
2338.99	2.89743	0.000194024
2343.73	2.8991	0.000194028
2348.47	2.90071	0.000194033
2353.22	2.90223	0.000194038
2357.96	2.90394	0.000194045
2362.7	2.90591	0.000194052
2367.44	2.90767	0.00019406
2372.19	2.90929	0.000194069
2376.93	2.91083	0.000194079
2381.67	2.9123	0.000194089
2386.41	2.9137	0.0001941
2391.16	2.9151	0.000194112
2395.9	2.91643	0.000194125
2400.64	2.91778	0.000194138
2405.39	2.9191	0.000194152
2410.13	2.9205	0.000194166
2414.87	2.92199	0.000194181
2419.61	2.92354	0.000194197
2424.36	2.92503	0.000194214
2429.1	2.92656	0.000194231
2433.84	2.92802	0.000194248
2438.59	2.92955	0.000194266
2443.33	2.93085	0.000194285
2448.07	2.93185	0.000194305
2452.81	2.93285	0.000194324
2457.56	2.93388	0.000194345
2462.3	2.9349	0.000194366
2467.04	2.93587	0.000194387
2471.78	2.93678	0.000194409
2476.53	2.93762	0.000194431
2481.27	2.93822	0.000194454
2486.01	2.93902	0.000194478
2490.76	2.94004	0.000194501
2495.5	2.94108	0.000194526
2500.24	2.94197	0.00019455
2504.98	2.94274	0.000194575
2509.73	2.94367	0.000194601
2514.47	2.94464	0.000194627
2519.21	2.94576	0.000194653
2523.95	2.94715	0.000194679
2528.7	2.94844	0.000194706
2533.44	2.94963	0.000194734
2538.18	2.95075	0.000194762
2542.93	2.9517	0.00019479
2547.67	2.95247	0.000194818
2552.41	2.95332	0.000194847
2557.15	2.95411	0.000194876
2561.9	2.95496	0.000194905
2566.64	2.95581	0.000194935
2571.38	2.95674	0.000194965
2576.13	2.95781	0.000194995
2580.87	2.959	0.000195026
2585.61	2.96011	0.000195056
2590.35	2.96122	0.000195087
2595.1	2.96234	0.000195119
2599.84	2.96346	0.00019515
2604.58	2.96463	0.000195182
2609.32	2.96592	0.000195214
2614.07	2.96723	0.000195246
2618.81	2.96832	0.000195279
2623.55	2.96928	0.000195311
2628.3	2.97023	0.000195344
2633.04	2.97107	0.000195377
2637.78	2.97202	0.000195411
2642.52	2.9731	0.000195444
2647.27	2.97414	0.000195478
2652.01	2.9751	0.000195511
2656.75	2.97601	0.000195545
2661.5	2.97679	0.000195579
2666.24	2.97743	0.000195614
2670.98	2.97813	0.000195648
2675.72	2.97879	0.000195683
2680.47	2.97946	0.000195717
2685.21	2.98012	0.000195752
2689.95	2.98075	0.000195787
2694.69	2.98132	0.000195822
2699.44	2.98177	0.000195857
2704.18	2.98244	0.000195892
2708.92	2.98317	0.000195927
2713.67	2.98408	0.000195963
2718.41	2.98522	0.000195998
2723.15	2.98635	0.000196034
2727.89	2.98748	0.00019607
2732.64	2.98865	0.000196105
2737.38	2.98975	0.000196141
2742.12	2.99086	0.000196177
2746.86	2.99191	0.000196213
2751.61	2.99293	0.000196249
2756.35	2.99399	0.000196285
2761.09	2.99517	0.000196321
2765.84	2.99631	0.000196357
2770.58	2.9974	0.000196393
2775.32	2.99848	0.000196429
2780.06	2.99935	0.000196465
2784.81	3	0.000196502
2789.55	3.0008	0.000196538
2794.29	3.00177	0.000196574
2799.04	3.00263	0.00019661
2803.78	3.0033	0.000196647
2808.52	3.00389	0.000196683
2813.26	3.00455	0.000196719
2818.01	3.00517	0.000196755
2822.75	3.00597	0.000196791
2827.49	3.00685	0.000196828
2832.23	3.00802	0.000196864
2836.98	3.01004	0.0001969
2841.72	3.01142	0.000196936
2846.46	3.01155	0.000196972
2851.21	3.0108	0.000197008
2855.95	3.01093	0.000197044
2860.69	3.01121	0.00019708
2865.43	3.01195	0.000197116
2870.18	3.0132	0.000197152
2874.92	3.01443	0.000197188
2879.66	3.01567	0.000197224
2884.41	3.01704	0.000197259
2889.15	3.01866	0.000197295
2893.89	3.02065	0.00019733
2898.63	3.02261	0.000197366
2903.38	3.02526	0.000197401
2908.12	3.02692	0.000197437
2912.86	3.02805	0.000197472
2917.6	3.02852	0.000197507
2922.35	3.02792	0.000197542
2927.09	3.02664	0.000197577
2931.83	3.02703	0.000197612
2936.58	3.02848	0.000197647
2941.32	3.02947	0.000197682
2946.06	3.03072	0.000197717
2950.8	3.03124	0.000197751
2955.55	3.03091	0.000197786
2960.29	3.03029	0.00019782
2965.03	3.02944	0.000197854
2969.77	3.02809	0.000197889
2974.52	3.02793	0.000197923
2979.26	3.02855	0.000197957
2984	3.02898	0.00019799
2988.75	3.02939	0.000198024
2993.49	3.02985	0.000198058
2998.23	3.03043	0.000198091
3002.97	3.03106	0.000198124
3007.72	3.03147	0.000198158
3012.46	3.03174	0.000198191
3017.2	3.03216	0.000198224
3021.95	3.03278	0.000198257
3026.69	3.03317	0.000198289
3031.43	3.03329	0.000198322
3036.17	3.03346	0.000198354
3040.92	3.03379	0.000198386
3045.66	3.0342	0.000198418
3050.4	3.03446	0.00019845
3055.14	3.03461	0.000198482
3059.89	3.03477	0.000198514
3064.63	3.0349	0.000198545
3069.37	3.03502	0.000198577
3074.12	3.0351	0.000198608
3078.86	3.03518	0.000198639
3083.6	3.03533	0.00019867
3088.34	3.03554	0.000198701
3093.09	3.03562	0.000198731
3097.83	3.03558	0.000198762
3102.57	3.03557	0.000198792
3107.32	3.03547	0.000198822
3112.06	3.03549	0.000198852
3116.8	3.03569	0.000198882
3121.54	3.03597	0.000198911
3126.29	3.03598	0.000198941
3131.03	3.03567	0.00019897
3135.77	3.03575	0.000198999
3140.51	3.03608	0.000199028
3145.26	3.03642	0.000199057
3150	3.03678	0.000199085
3154.74	3.0372	0.000199114
3159.49	3.03769	0.000199142
3164.23	3.03828	0.00019917
3168.97	3.03876	0.000199198
3173.71	3.03914	0.000199225
3178.46	3.0397	0.000199253
3183.2	3.0405	0.00019928
3187.94	3.04124	0.000199307
3192.68	3.04193	0.000199334
3197.43	3.04261	0.000199361
3202.17	3.04328	0.000199387
3206.91	3.04399	0.000199413
3211.66	3.04478	0.000199439
3216.4	3.04594	0.000199465
3221.14	3.04665	0.000199491
3225.88	3.04705	0.000199517
3230.63	3.04719	0.000199542
3235.37	3.04694	0.000199567
3240.11	3.04631	0.000199592
3244.86	3.04632	0.000199617
3249.6	3.04668	0.000199641
3254.34	3.04689	0.000199666
3259.08	3.04701	0.00019969
3263.83	3.04716	0.000199714
3268.57	3.04731	0.000199737
3273.31	3.04748	0.000199761
3278.05	3.04772	0.000199784
3282.8	3.04803	0.000199807
3287.54	3.04834	0.00019983
3292.28	3.04874	0.000199853
3297.03	3.04903	0.000199875
3301.77	3.0493	0.000199897
3306.51	3.04945	0.00019992
3311.25	3.04946	0.000199941
3316	3.04929	0.000199963
3320.74	3.04878	0.000199984
3325.48	3.0476	0.000200006
3330.23	3.04736	0.000200027
3334.97	3.04786	0.000200047
3339.71	3.04815	0.000200068
3344.45	3.04816	0.000200088
3349.2	3.04825	0.000200108
3353.94	3.04871	0.000200128
3358.68	3.04944	0.000200148
3363.42	3.05014	0.000200167
3368.17	3.05099	0.000200187
3372.91	3.05191	0.000200206
3377.65	3.05333	0.000200225
3382.4	3.05423	0.000200243
3387.14	3.05441	0.000200261
3391.88	3.05423	0.00020028
3396.62	3.05462	0.000200298
3401.37	3.05528	0.000200315
3406.11	3.05573	0.000200333
3410.85	3.056	0.00020035
3415.59	3.05639	0.000200367
3420.34	3.05686	0.000200384
3425.08	3.05741	0.0002004
3429.82	3.05806	0.000200417
3434.57	3.05881	0.000200433
3439.31	3.05953	0.000200449
3444.05	3.0603	0.000200465
3448.79	3.06101	0.00020048
3453.54	3.06161	0.000200495
3458.28	3.06242	0.00020051
3463.02	3.06357	0.000200525
3467.77	3.06489	0.00020054
3472.51	3.06612	0.000200554
3477.25	3.06753	0.000200568
3481.99	3.06855	0.000200582
3486.74	3.06946	0.000200596
3491.48	3.07018	0.000200609
3496.22	3.07081	0.000200622
3500.96	3.07123	0.000200635
3505.71	3.07133	0.000200648
3510.45	3.07119	0.000200661
