W E1 E2
1320.34 1.25837 0.249403
1326.37 1.31955 0.233053
1332.4 1.37954 0.219698
1338.42 1.44094 0.212929
1344.45 1.49658 0.210248
1350.48 1.54904 0.214081
1356.51 1.59307 0.219664
1362.54 1.63194 0.224613
1368.57 1.6651 0.229245
1374.6 1.69544 0.231734
1380.63 1.72068 0.231808
1386.66 1.74654 0.229051
1392.68 1.77055 0.224357
1398.71 1.79511 0.218937
1404.74 1.81892 0.211795
1410.77 1.84229 0.20436
1416.8 1.86732 0.193785
1422.83 1.8953 0.183903
1428.86 1.92509 0.175234
1434.89 1.9597 0.171825
1440.92 1.98983 0.17347
1446.95 2.01881 0.182679
1452.97 2.03462 0.194978
1459 2.04358 0.194866
1465.03 2.05295 0.192741
1471.06 2.06571 0.183226
1477.09 2.0827 0.174406
1483.12 2.10057 0.166793
1489.15 2.11925 0.158873
1495.18 2.14064 0.150714
1501.21 2.16508 0.148336
1507.23 2.18589 0.14789
1513.26 2.20476 0.149873
1519.29 2.21913 0.151207
1525.32 2.23427 0.148633
1531.35 2.25134 0.146927
1537.38 2.26775 0.14659
1543.41 2.28426 0.147589
1549.44 2.29879 0.149546
1555.47 2.31186 0.151887
1561.5 2.32179 0.154356
1567.52 2.33205 0.150745
1573.55 2.34753 0.148464
1579.58 2.36105 0.151035
1585.61 2.37214 0.153246
1591.64 2.3825 0.154933
1597.67 2.39191 0.156092
1603.7 2.40131 0.15695
1609.73 2.41022 0.158235
1615.76 2.41736 0.15952
1621.78 2.4246 0.158176
1627.81 2.43321 0.157202
1633.84 2.44114 0.157274
1639.87 2.44791 0.156718
1645.9 2.45513 0.155408
1651.93 2.46239 0.154057
1657.96 2.4695 0.152697
1663.99 2.47656 0.150425
1670.02 2.48479 0.148133
1676.05 2.49303 0.146933
1682.07 2.50131 0.146046
1688.1 2.50869 0.145897
1694.13 2.51478 0.144459
1700.16 2.52328 0.141704
1706.19 2.53414 0.143722
1712.22 2.53967 0.147764
1718.25 2.54251 0.148572
1724.28 2.54398 0.148491
1730.31 2.54685 0.144058
1736.33 2.55122 0.139152
1742.36 2.55817 0.133255
1748.39 2.56865 0.130274
1754.42 2.57657 0.12984
1760.45 2.58343 0.129002
1766.48 2.59023 0.128033
1772.51 2.59696 0.127085
1778.54 2.60386 0.126251
1784.57 2.61042 0.12597
1790.59 2.6165 0.125526
1796.62 2.62281 0.124791
1802.65 2.62954 0.124556
1808.68 2.63578 0.124697
1814.71 2.6419 0.124754
1820.74 2.64859 0.124795
1826.77 2.65508 0.126773
1832.8 2.66058 0.128911
1838.83 2.66491 0.131589
1844.86 2.66753 0.133484
1850.88 2.67069 0.134218
1856.91 2.67407 0.135457
1862.94 2.67638 0.137021
1868.97 2.67775 0.137379
1875 2.67924 0.137456
1881.03 2.68061 0.136794
1887.06 2.68138 0.135746
1893.09 2.6828 0.133421
1899.12 2.68433 0.130518
1905.14 2.68731 0.126882
1911.17 2.69162 0.124501
1917.2 2.6949 0.122796
1923.23 2.69798 0.119782
1929.26 2.70286 0.116681
1935.29 2.70784 0.115364
1941.32 2.7127 0.114268
1947.35 2.71707 0.11375
1953.38 2.72122 0.113339
1959.41 2.72511 0.113041
1965.43 2.72892 0.113189
1971.46 2.73195 0.113541
1977.49 2.73451 0.113348
1983.52 2.73713 0.11311
1989.55 2.73947 0.112988
1995.58 2.74122 0.112659
2001.61 2.74299 0.111867
2007.64 2.74449 0.110813
2013.67 2.74605 0.109518
2019.69 2.74737 0.107568
2025.72 2.7492 0.105375
2031.75 2.75121 0.102996
2037.78 2.7533 0.100536
2043.81 2.75582 0.0976531
2049.84 2.75891 0.0949352
2055.87 2.76203 0.0925195
2061.9 2.76522 0.0900654
2067.93 2.76867 0.0875816
2073.95 2.77243 0.0854056
2079.98 2.77619 0.0833254
2086.01 2.78006 0.0814694
2092.04 2.78421 0.0797445
2098.07 2.78811 0.0785741
2104.1 2.79177 0.0773404
2110.13 2.79552 0.0760061
2116.16 2.79951 0.0749672
2122.19 2.80324 0.0741283
2128.22 2.8069 0.0734066
2134.24 2.81047 0.0727173
2140.27 2.81393 0.0721945
2146.3 2.81724 0.0716677
2152.33 2.82047 0.0711213
2158.36 2.82367 0.0705942
2164.39 2.82678 0.0700922
2170.42 2.82982 0.0695023
2176.45 2.83298 0.0688629
2182.48 2.83623 0.0684961
2188.5 2.83924 0.0681738
2194.53 2.84225 0.0677148
2200.56 2.84546 0.0673559
2206.59 2.84851 0.0672795
2212.62 2.85146 0.0672514
2218.65 2.85428 0.0672781
2224.68 2.857 0.0673546
2230.71 2.8596 0.067456
2236.74 2.86209 0.0675824
2242.77 2.8645 0.0677253
2248.79 2.8667 0.0679886
2254.82 2.86844 0.0680583
2260.85 2.87042 0.06767
2266.88 2.8726 0.0673928
2272.91 2.87466 0.0672243
2278.94 2.87662 0.0669703
2284.97 2.87857 0.0666827
2291 2.88049 0.0662409
2297.03 2.88249 0.0657814
2303.05 2.88455 0.0652848
2309.08 2.88674 0.0648647
2315.11 2.88877 0.0645939
2321.14 2.89056 0.06405
2327.17 2.89278 0.0632777
2333.2 2.8953 0.0629636
2339.23 2.89751 0.0628012
2345.26 2.89962 0.0626269
2351.29 2.90159 0.0624066
2357.32 2.9037 0.0619565
2363.34 2.90616 0.0617243
2369.37 2.90835 0.061854
2375.4 2.91034 0.0619608
2381.43 2.91223 0.0620514
2387.46 2.91401 0.0620727
2393.49 2.91575 0.0620765
2399.52 2.91746 0.0619645
2405.55 2.91915 0.0618232
2411.58 2.92094 0.061567
2417.6 2.9229 0.0614058
2423.63 2.9248 0.0613785
2429.66 2.92673 0.0614501
2435.69 2.9286 0.061582
2441.72 2.93043 0.0620361
2447.75 2.9318 0.0625422
2453.78 2.93306 0.0626679
2459.81 2.93437 0.0627934
2465.84 2.93563 0.0629169
2471.86 2.9368 0.0630289
2477.89 2.93784 0.0631267
2483.92 2.93864 0.0628436
2489.95 2.93984 0.0623652
2495.98 2.94117 0.0621734
2502.01 2.94222 0.0619986
2508.04 2.94333 0.0614953
2514.07 2.94455 0.0609578
2520.1 2.94599 0.060333
2526.13 2.94777 0.0599745
2532.15 2.9493 0.0598914
2538.18 2.95075 0.0599282
2544.21 2.95192 0.0600169
2550.24 2.95293 0.0598213
2556.27 2.95396 0.0595753
2562.3 2.95504 0.0591612
2568.33 2.95612 0.0586847
2574.36 2.9574 0.0580769
2580.39 2.95888 0.0576022
2586.41 2.9603 0.0572453
2592.44 2.96171 0.0569057
2598.47 2.96314 0.0565727
2604.5 2.96461 0.0562352
2610.53 2.96631 0.0559702
2616.56 2.96782 0.0561041
2622.59 2.96908 0.0561933
2628.62 2.97029 0.0562031
2634.65 2.97138 0.0560833
2640.68 2.97265 0.0558656
2646.7 2.97402 0.0558699
2652.73 2.97524 0.0559383
2658.76 2.97635 0.0560971
2664.79 2.97723 0.0562107
2670.82 2.9781 0.0561269
2676.85 2.97894 0.0560064
2682.88 2.9798 0.0558304
2688.91 2.98061 0.0556189
2694.94 2.98134 0.0553847
2700.96 2.98198 0.0547869
2706.99 2.98286 0.0541038
2713.02 2.98394 0.0532845
2719.05 2.98538 0.0525487
2725.08 2.9868 0.0520901
2731.11 2.98828 0.0517184
2737.14 2.98969 0.051458
2743.17 2.99109 0.0512623
2749.2 2.99242 0.0511021
2755.23 2.99374 0.0508837
2761.25 2.99521 0.0506732
2767.28 2.99665 0.0507304
2773.31 2.99806 0.0508566
2779.34 2.99923 0.0511688
2785.37 3.00009 0.0512744
2791.4 3.00115 0.0511538
2797.43 3.00236 0.051262
2803.46 3.00327 0.0514755
2809.49 3.00402 0.0513852
2815.51 3.00481 0.0512295
2821.54 3.00575 0.0508131
2827.57 3.00687 0.050347
2833.6 3.00844 0.0497691
2839.63 3.01099 0.0504195
2845.66 3.01164 0.0522213
2851.69 3.01079 0.0522044
2857.72 3.01102 0.0514939
2863.75 3.01164 0.0503274
2869.77 3.01309 0.0492176
2875.8 3.01466 0.0486629
2881.83 3.01627 0.0480962
2887.86 3.01818 0.0475069
2893.89 3.02065 0.0473164
2899.92 3.02323 0.047446
2905.95 3.02625 0.0491569
2911.98 3.02785 0.0513601
2918.01 3.02852 0.0538465
2924.04 3.02705 0.0557203
2930.06 3.02676 0.0547269
2936.09 3.02836 0.0543994
2942.12 3.02964 0.0551314
2948.15 3.03105 0.0566314
2954.18 3.03115 0.0586573
2960.21 3.0303 0.0598342
2966.24 3.02894 0.0607804
2972.27 3.02791 0.0594979
2978.3 3.02844 0.0584403
2984.32 3.02901 0.0581941
2990.35 3.02954 0.0579525
2996.38 3.03017 0.0577174
3002.41 3.031 0.0577805
3008.44 3.03152 0.0580173
3014.47 3.03191 0.0580073
3020.5 3.03259 0.0579733
3026.53 3.03316 0.0583902
3032.56 3.03331 0.0586855
3038.59 3.03361 0.0586257
3044.61 3.03413 0.0587112
3050.64 3.03447 0.0589648
3056.67 3.03466 0.0591271
3062.7 3.03486 0.0592447
3068.73 3.03501 0.0593059
3074.76 3.0351 0.0593445
3080.79 3.03523 0.0592246
3086.82 3.03549 0.0591566
3092.85 3.03562 0.0592127
3098.87 3.03557 0.0591547
3104.9 3.03555 0.0589838
3110.93 3.03547 0.0585726
3116.96 3.03571 0.0580633
3122.99 3.036 0.0579537
3129.02 3.03575 0.0577799
3135.05 3.03572 0.0569056
3141.08 3.03612 0.0561131
3147.11 3.03656 0.055484
3153.14 3.03705 0.0548479
3159.16 3.03765 0.0542059
3165.19 3.03838 0.0537615
3171.22 3.03895 0.0533835
3177.25 3.03954 0.0527442
3183.28 3.04052 0.0521645
3189.31 3.04144 0.0519491
3195.34 3.04232 0.0517592
3201.37 3.04317 0.0516121
3207.4 3.04406 0.0514741
3213.42 3.04515 0.0513426
3219.45 3.04644 0.0519927
3225.48 3.04703 0.0528541
3231.51 3.04718 0.0536879
3237.54 3.0465 0.0542397
3243.57 3.04628 0.0536826
3249.6 3.04668 0.0533308
3255.63 3.04694 0.0532738
3261.66 3.04709 0.0531352
3267.68 3.04729 0.0529461
3273.71 3.0475 0.0526703
3279.74 3.04783 0.0523794
3285.77 3.04822 0.0521756
3291.8 3.0487 0.0520329
3297.83 3.04907 0.0520816
3303.86 3.04939 0.0522137
3309.89 3.04947 0.052448
3315.92 3.0493 0.0527161
3321.95 3.04853 0.0530019
3327.97 3.0474 0.0516585
3334 3.04774 0.050133
3340.03 3.04817 0.0495389
3346.06 3.04812 0.0487506
3352.09 3.04849 0.0474631
3358.12 3.04936 0.0463707
3364.15 3.05026 0.0454831
3370.18 3.05136 0.0447296
3376.21 3.05275 0.0440348
3382.23 3.05421 0.0446389
3388.26 3.05422 0.0452249
3394.29 3.05439 0.044554
3400.32 3.05516 0.0440452
3406.35 3.05575 0.0438825
3412.38 3.05611 0.0435267
3418.41 3.05667 0.0429972
3424.44 3.05733 0.042441
3430.47 3.05816 0.0418751
3436.5 3.0591 0.041491
3442.52 3.06006 0.0411394
3448.55 3.06098 0.040909
3454.58 3.06176 0.0405443
3460.61 3.06292 0.0399382
3466.64 3.0646 0.039725
3472.67 3.06616 0.0398139
3478.7 3.06787 0.040509
3484.73 3.06909 0.0413822
3490.76 3.07008 0.042423
3496.78 3.07088 0.0435094
3502.81 3.07131 0.044778
3508.84 3.07119 0.0457863
3514.87 3.07126 0.0463983
3520.9 3.07142 0.0472285
3526.93 3.07106 0.0482017
3532.96 3.07032 0.0481572
3538.99 3.07056 0.0478936
3545.02 3.07087 0.0484788
3551.05 3.07088 0.0490946
3557.07 3.07054 0.0498142
3563.1 3.06955 0.0500815
3569.13 3.06902 0.0497616
3575.16 3.06869 0.0493232
3581.19 3.06876 0.0488189
3587.22 3.06902 0.0490061
3593.25 3.06843 0.049251
3599.28 3.068 0.0484641
3605.31 3.0681 0.0476983
3611.33 3.06856 0.0469906
3617.36 3.06976 0.0470236
3623.39 3.06989 0.0478794
3629.42 3.06918 0.0477497
3635.45 3.0695 0.0471593
3641.48 3.07004 0.0480337
3647.51 3.06865 0.0488463
3653.54 3.06785 0.0473839
3659.57 3.06875 0.0465182
3665.59 3.06883 0.0470143
3671.62 3.06784 0.0466931
3677.65 3.0678 0.0455943
3683.68 3.06838 0.0452431
3689.71 3.06835 0.0451825
3695.74 3.06815 0.0446159
3701.77 3.06829 0.0440487
3707.8 3.06836 0.0437271
3713.83 3.06809 0.0431967
3719.86 3.06818 0.0422669
3725.88 3.06857 0.0413921
3731.91 3.06922 0.040562
3737.94 3.07017 0.0403792
3743.97 3.07047 0.040402
3750 3.07074 0.039706
3756.03 3.07193 0.0392208
3762.06 3.07263 0.0398509
3768.09 3.07253 0.0402281
3774.12 3.07253 0.0401964
3780.14 3.0725 0.0401115
3786.17 3.0724 0.0399897
3792.2 3.07225 0.039315
3798.23 3.07311 0.0385096
3804.26 3.07374 0.0394998
3810.29 3.07263 0.0400766
3816.32 3.07203 0.0391264
3822.35 3.07207 0.0383578
3828.38 3.0719 0.0378392
3834.41 3.07137 0.0363288
3840.43 3.07261 0.0342324
3846.46 3.07491 0.0346794
3852.49 3.07539 0.0356007
3858.52 3.07531 0.0360172
3864.55 3.07448 0.0360636
3870.58 3.07427 0.0350101
3876.61 3.07466 0.0340392
3882.64 3.07543 0.0331655
3888.67 3.07678 0.0332726
3894.69 3.07707 0.0338687
3900.72 3.07688 0.0337665
3906.75 3.07685 0.0335406
3912.78 3.07698 0.0330476
3918.81 3.07747 0.0326975
3924.84 3.07771 0.0326963
3930.87 3.07761 0.0324595
3936.9 3.07775 0.0319855
3942.93 3.07802 0.0315522
3948.95 3.07835 0.031136
3954.98 3.07873 0.0308261
3961.01 3.07914 0.0305513
3967.04 3.07944 0.0304576
3973.07 3.07949 0.0302437
3979.1 3.07972 0.0297847
3985.13 3.08013 0.0294532
3991.16 3.08044 0.0292316
3997.19 3.08069 0.0289278
4003.22 3.08106 0.0285959
4009.24 3.08142 0.0284817
4015.27 3.08154 0.0283292
4021.3 3.08174 0.0279181
4027.33 3.08211 0.0275565
4033.36 3.08246 0.0272797
4039.39 3.08284 0.0270617
4045.42 3.08315 0.0268869
4051.45 3.08341 0.0266879
4057.48 3.08363 0.0264822
4063.5 3.08388 0.0261529
4069.53 3.08426 0.0258612
4075.56 3.08457 0.0257248
4081.59 3.08475 0.0255127
4087.62 3.08503 0.0251904
4093.65 3.0854 0.0249819
4099.68 3.08563 0.024845
4105.71 3.08578 0.02452
4111.74 3.08611 0.0241582
4117.77 3.08646 0.0239175
4123.79 3.08682 0.023698
4129.82 3.08711 0.0235466
4135.85 3.08729 0.0233095
4141.88 3.0876 0.0229657
4147.91 3.08802 0.0227577
4153.94 3.08833 0.0226218
4159.97 3.08858 0.0224299
4166 3.08882 0.0222244
4172.03 3.08909 0.0219568
4178.05 3.08945 0.0217285
4184.08 3.08973 0.021603
4190.11 3.0899 0.0214016
4196.14 3.09015 0.0211194
4202.17 3.09044 0.020858
4208.2 3.09075 0.0206059
4214.23 3.09106 0.0203927
4220.26 3.09132 0.0201755
4226.29 3.09163 0.0198873
4232.32 3.09208 0.0196781
4238.34 3.09237 0.0196402
4244.37 3.09247 0.0194469
4250.4 3.09274 0.0191117
4256.43 3.09312 0.0188948
4262.46 3.09343 0.0187216
4268.49 3.09371 0.0185198
4274.52 3.09401 0.0183196
4280.55 3.09431 0.0181397
4286.58 3.09459 0.0179584
4292.6 3.09487 0.0177745
4298.63 3.09514 0.0175867
4304.66 3.09542 0.0173958
4310.69 3.09569 0.0172027
4316.72 3.09596 0.0170089
4322.75 3.09623 0.0167918
4328.78 3.09653 0.0165823
4334.81 3.09681 0.0164083
4340.84 3.09706 0.0162072
4346.86 3.09735 0.0159642
4352.89 3.0977 0.0157759
