W T
99.1536 0
99.5566 0
99.9597 0
100.363 0
100.766 0
101.169 0
101.572 0
101.975 0
102.378 0
102.781 0
103.184 0
103.587 0
103.99 0
104.393 0
104.796 0
105.2 0
105.603 0
106.006 0
106.409 0
106.812 0
107.215 0
107.618 0
108.021 0
108.424 0
108.827 0
109.23 0
109.633 0
110.036 0
110.439 0
110.842 0
111.245 0
111.649 0
112.052 0
112.455 0
112.858 0
113.261 0
113.664 0
114.067 0
114.47 0
114.873 0
115.276 0
115.679 0
116.082 0
116.485 0
116.888 0
117.291 0
117.694 0
118.098 0
118.501 0
118.904 0
119.307 0
119.71 0
120.113 0
120.516 0
120.919 0
121.322 0
121.725 0
122.128 0
122.531 0
122.934 0
123.337 0
123.74 0
124.143 0
124.547 0
124.95 0
125.353 9.88131e-324
125.756 3.82931e-312
126.159 3.34581e-301
126.562 7.28406e-291
126.965 4.37646e-281
127.368 7.96453e-272
127.771 4.77884e-263
128.174 1.02151e-254
128.577 8.34938e-247
128.98 2.78423e-239
129.383 4.01965e-232
129.786 2.65327e-225
130.189 8.41883e-219
130.593 1.34472e-212
130.996 1.12819e-206
131.399 5.17063e-201
131.802 1.34233e-195
132.205 2.04125e-190
132.608 1.87561e-185
133.011 1.0718e-180
133.414 3.91221e-176
133.817 9.35126e-172
134.22 1.49797e-167
134.623 1.64315e-163
135.026 1.25929e-159
135.429 6.87057e-156
135.832 2.71575e-152
136.235 7.9056e-149
136.638 1.72106e-145
137.042 2.84259e-142
137.445 3.61034e-139
137.848 3.57103e-136
138.251 2.78366e-133
138.654 1.7293e-130
139.057 8.65223e-128
139.46 3.52118e-125
139.863 1.17654e-122
140.266 3.25619e-120
140.669 7.52669e-118
141.072 1.46454e-115
141.475 2.4167e-113
141.878 3.40577e-111
142.281 4.12632e-109
142.684 4.32512e-107
143.087 3.94557e-105
143.491 3.15028e-103
143.894 2.21334e-101
144.297 1.37535e-99
144.7 7.59537e-98
145.103 3.74496e-96
145.506 1.65579e-94
145.909 6.59224e-93
146.312 2.37271e-91
146.715 7.74958e-90
147.118 2.30513e-88
147.521 6.26585e-87
147.924 1.56154e-85
148.327 3.57906e-84
148.73 7.56691e-83
149.133 1.47992e-81
149.536 2.68475e-80
149.94 4.52946e-79
150.343 7.12432e-78
150.746 1.0472e-76
151.149 1.44174e-75
151.552 1.86324e-74
151.955 2.26505e-73
152.358 2.59528e-72
152.761 2.80814e-71
153.164 2.87462e-70
153.567 2.78894e-69
153.97 2.56877e-68
154.373 2.24983e-67
154.776 1.87667e-66
155.179 1.49312e-65
155.582 1.13473e-64
155.985 8.24876e-64
156.389 5.74326e-63
156.792 3.83496e-62
157.195 2.45885e-61
157.598 1.51562e-60
158.001 8.99142e-60
158.404 5.13961e-59
158.807 2.83371e-58
159.21 1.50851e-57
159.613 7.76137e-57
160.016 3.86314e-56
160.419 1.86188e-55
160.822 8.69681e-55
161.225 3.94035e-54
161.628 1.73315e-53
162.031 7.40642e-53
162.435 3.07744e-52
162.838 1.24423e-51
163.241 4.89841e-51
163.644 1.87912e-50
164.047 7.029e-50
164.45 2.56538e-49
164.853 9.14124e-49
165.256 3.18212e-48
165.659 1.08278e-47
166.062 3.60354e-47
166.465 1.1736e-46
166.868 3.74234e-46
167.271 1.16904e-45
167.674 3.57924e-45
168.077 1.07459e-44
168.48 3.16511e-44
168.884 9.15016e-44
169.287 2.59749e-43
169.69 7.24355e-43
170.093 1.98519e-42
170.496 5.34915e-42
170.899 1.41764e-41
171.302 3.6967e-41
171.705 9.48832e-41
172.108 2.39799e-40
172.511 5.96954e-40
172.914 1.46425e-39
173.317 3.54011e-39
173.72 8.43883e-39
174.123 1.98403e-38
174.526 4.60198e-38
174.929 1.05342e-37
175.333 2.38034e-37
175.736 5.31107e-37
176.139 1.17043e-36
176.542 2.54828e-36
176.945 5.48272e-36
177.348 1.166e-35
177.751 2.45169e-35
178.154 5.09793e-35
178.557 1.04854e-34
178.96 2.13373e-34
179.363 4.29683e-34
179.766 8.56456e-34
180.169 1.69005e-33
180.572 3.30233e-33
180.975 6.39075e-33
181.378 1.22512e-32
181.782 2.3269e-32
182.185 4.37958e-32
182.588 8.16995e-32
182.991 1.51082e-31
183.394 2.77004e-31
183.797 5.03629e-31
184.2 9.08149e-31
184.603 1.6244e-30
185.006 2.8826e-30
185.409 5.07571e-30
185.812 8.86938e-30
186.215 1.53828e-29
186.618 2.64841e-29
187.021 4.52688e-29
187.424 7.68308e-29
187.827 1.29494e-28
188.231 2.16771e-28
188.634 3.60443e-28
189.037 5.95407e-28
189.44 9.77196e-28
189.843 1.59364e-27
190.246 2.58279e-27
190.649 4.16031e-27
191.052 6.6611e-27
191.455 1.06022e-26
191.858 1.67773e-26
192.261 2.63978e-26
192.664 4.13022e-26
193.067 6.42661e-26
193.47 9.94567e-26
193.873 1.53098e-25
194.277 2.34439e-25
194.68 3.5715e-25
195.083 5.41339e-25
195.486 8.1644e-25
195.889 1.22532e-24
196.292 1.83013e-24
196.695 2.72055e-24
197.098 4.02535e-24
197.501 5.92869e-24
197.904 8.69269e-24
198.307 1.26888e-23
198.71 1.84412e-23
199.113 2.66864e-23
199.516 3.84551e-23
199.919 5.51836e-23
200.322 7.88652e-23
200.726 1.12256e-22
201.129 1.59151e-22
201.532 2.24755e-22
201.935 3.16184e-22
202.338 4.43123e-22
202.741 6.18712e-22
203.144 8.60711e-22
203.547 1.19304e-21
203.95 1.6478e-21
204.353 2.26794e-21
204.756 3.1107e-21
205.159 4.25211e-21
205.562 5.79289e-21
205.965 7.86595e-21
206.368 1.06462e-20
206.771 1.43629e-20
207.175 1.93162e-20
207.578 2.58968e-20
207.981 3.4613e-20
208.384 4.61231e-20
208.787 6.12779e-20
209.19 8.11734e-20
209.593 1.07218e-19
209.996 1.41215e-19
210.399 1.85469e-19
210.802 2.42917e-19
211.205 3.17291e-19
211.608 4.1332e-19
212.011 5.36983e-19
212.414 6.9582e-19
212.817 8.99311e-19
213.22 1.15936e-18
213.624 1.49084e-18
214.027 1.91236e-18
214.43 2.44706e-18
214.833 3.12373e-18
215.236 3.97803e-18
215.639 5.0541e-18
216.042 6.40639e-18
216.445 8.10198e-18
216.848 1.02233e-17
217.251 1.28713e-17
217.654 1.61697e-17
218.057 2.02694e-17
218.46 2.53543e-17
218.863 3.16481e-17
219.266 3.9422e-17
219.669 4.90046e-17
220.073 6.07932e-17
220.476 7.52669e-17
220.879 9.30025e-17
221.282 1.14693e-16
221.685 1.41171e-16
222.088 1.73431e-16
222.491 2.12664e-16
222.894 2.6029e-16
223.297 3.17998e-16
223.7 3.87799e-16
224.103 4.72079e-16
224.506 5.73664e-16
224.909 6.95896e-16
225.312 8.42723e-16
225.715 1.0188e-15
226.119 1.2296e-15
226.522 1.48156e-15
226.925 1.78224e-15
227.328 2.14048e-15
227.731 2.56663e-15
228.134 3.07276e-15
228.537 3.67298e-15
228.94 4.3837e-15
229.343 5.22398e-15
229.746 6.21599e-15
230.149 7.3854e-15
230.552 8.76195e-15
230.955 1.038e-14
231.358 1.22793e-14
231.761 1.45055e-14
232.164 1.71114e-14
232.568 2.01575e-14
232.971 2.37134e-14
233.374 2.7859e-14
233.777 3.26856e-14
234.18 3.82978e-14
234.583 4.48151e-14
234.986 5.23739e-14
235.389 6.11296e-14
235.792 7.12592e-14
236.195 8.29638e-14
236.598 9.64719e-14
237.001 1.12043e-13
237.404 1.2997e-13
237.807 1.50586e-13
238.21 1.74267e-13
238.613 2.01437e-13
239.017 2.32576e-13
239.42 2.68221e-13
239.823 3.08981e-13
240.226 3.55539e-13
240.629 4.08662e-13
241.032 4.69209e-13
241.435 5.38147e-13
241.838 6.16555e-13
242.241 7.05642e-13
242.644 8.06758e-13
243.047 9.21412e-13
243.45 1.05129e-12
243.853 1.19825e-12
244.256 1.3644e-12
244.659 1.55205e-12
245.062 1.76377e-12
245.466 2.00244e-12
245.869 2.27123e-12
246.272 2.57366e-12
246.675 2.91362e-12
247.078 3.29542e-12
247.481 3.72383e-12
247.884 4.2041e-12
248.287 4.74205e-12
248.69 5.34406e-12
249.093 6.0172e-12
249.496 6.76921e-12
249.899 7.60863e-12
250.302 8.54484e-12
250.705 9.58811e-12
251.108 1.07498e-11
251.511 1.20422e-11
251.915 1.34788e-11
252.318 1.50747e-11
252.721 1.68459e-11
253.124 1.88103e-11
253.527 2.09871e-11
253.93 2.33976e-11
254.333 2.60647e-11
254.736 2.90137e-11
255.139 3.22719e-11
255.542 3.5869e-11
255.945 3.98374e-11
256.348 4.42123e-11
256.751 4.90319e-11
257.154 5.43377e-11
257.557 6.01746e-11
257.96 6.65913e-11
258.364 7.36406e-11
258.767 8.13797e-11
259.17 8.98702e-11
259.573 9.91789e-11
259.976 1.09378e-10
260.379 1.20545e-10
260.782 1.32765e-10
261.185 1.46128e-10
261.588 1.6073e-10
261.991 1.76679e-10
262.394 1.94086e-10
262.797 2.13074e-10
263.2 2.33773e-10
263.603 2.56324e-10
264.006 2.80878e-10
264.41 3.07597e-10
264.813 3.36654e-10
265.216 3.68236e-10
265.619 4.02543e-10
266.022 4.39788e-10
266.425 4.80201e-10
266.828 5.24025e-10
267.231 5.71522e-10
267.634 6.22972e-10
268.037 6.78674e-10
268.44 7.38945e-10
268.843 8.04127e-10
269.246 8.74582e-10
269.649 9.50696e-10
270.052 1.03288e-09
270.455 1.12157e-09
270.859 1.21724e-09
271.262 1.32038e-09
271.665 1.43153e-09
272.068 1.55123e-09
272.471 1.68008e-09
272.874 1.81873e-09
273.277 1.96783e-09
273.68 2.12811e-09
274.083 2.30031e-09
274.486 2.48524e-09
274.889 2.68374e-09
275.292 2.89672e-09
275.695 3.12511e-09
276.098 3.36993e-09
276.501 3.63224e-09
276.904 3.91316e-09
277.308 4.21388e-09
277.711 4.53565e-09
278.114 4.8798e-09
278.517 5.24771e-09
278.92 5.64088e-09
279.323 6.06084e-09
279.726 6.50923e-09
280.129 6.98779e-09
280.532 7.49832e-09
280.935 8.04274e-09
281.338 8.62307e-09
281.741 9.24141e-09
282.144 9.9e-09
282.547 1.06012e-08
282.95 1.13474e-08
283.353 1.21413e-08
283.757 1.29854e-08
284.16 1.38828e-08
284.563 1.48364e-08
284.966 1.58493e-08
285.369 1.69247e-08
285.772 1.80662e-08
286.175 1.92774e-08
286.578 2.0562e-08
286.981 2.19239e-08
287.384 2.33674e-08
287.787 2.48968e-08
288.19 2.65165e-08
288.593 2.82314e-08
288.996 3.00463e-08
289.399 3.19665e-08
289.802 3.39974e-08
290.206 3.61446e-08
290.609 3.84141e-08
291.012 4.08119e-08
291.415 4.33445e-08
291.818 4.60186e-08
292.221 4.88411e-08
292.624 5.18194e-08
293.027 5.4961e-08
293.43 5.82739e-08
293.833 6.17662e-08
294.236 6.54466e-08
294.639 6.93239e-08
295.042 7.34074e-08
295.445 7.77068e-08
295.848 8.2232e-08
296.252 8.69936e-08
296.655 9.20024e-08
297.058 9.72696e-08
297.461 1.02807e-07
297.864 1.08627e-07
298.267 1.14741e-07
298.67 1.21164e-07
299.073 1.27908e-07
299.476 1.34988e-07
299.879 1.42418e-07
300.282 1.50213e-07
300.685 1.5839e-07
301.088 1.66964e-07
301.491 1.75953e-07
301.894 1.85373e-07
302.297 1.95243e-07
302.701 2.05581e-07
303.104 2.16408e-07
303.507 2.27742e-07
303.91 2.39605e-07
304.313 2.52019e-07
304.716 2.65004e-07
305.119 2.78585e-07
305.522 2.92785e-07
305.925 3.07629e-07
306.328 3.23141e-07
306.731 3.39347e-07
307.134 3.56276e-07
307.537 3.73954e-07
307.94 3.92411e-07
308.343 4.11675e-07
308.746 4.31778e-07
309.15 4.52752e-07
309.553 4.74627e-07
309.956 4.97439e-07
310.359 5.21221e-07
310.762 5.4601e-07
311.165 5.71842e-07
311.568 5.98754e-07
311.971 6.26785e-07
312.374 6.55977e-07
312.777 6.86369e-07
313.18 7.18004e-07
313.583 7.50926e-07
313.986 7.8518e-07
314.389 8.20812e-07
314.792 8.57869e-07
315.195 8.96401e-07
315.599 9.36457e-07
316.002 9.7809e-07
316.405 1.02135e-06
316.808 1.0663e-06
317.211 1.11298e-06
317.614 1.16146e-06
318.017 1.2118e-06
318.42 1.26405e-06
318.823 1.31828e-06
319.226 1.37456e-06
319.629 1.43294e-06
320.032 1.4935e-06
320.435 1.5563e-06
320.838 1.62141e-06
321.241 1.68891e-06
321.644 1.75887e-06
322.048 1.83137e-06
322.451 1.90649e-06
322.854 1.98429e-06
323.257 2.06488e-06
323.66 2.14832e-06
324.063 2.23471e-06
324.466 2.32413e-06
324.869 2.41668e-06
325.272 2.51244e-06
325.675 2.61151e-06
326.078 2.71398e-06
326.481 2.81996e-06
326.884 2.92955e-06
327.287 3.04284e-06
327.69 3.15995e-06
328.094 3.28097e-06
328.497 3.40603e-06
328.9 3.53523e-06
329.303 3.66869e-06
329.706 3.80652e-06
330.109 3.94886e-06
330.512 4.0958e-06
330.915 4.2475e-06
331.318 4.40406e-06
331.721 4.56563e-06
332.124 4.73233e-06
332.527 4.9043e-06
332.93 5.08169e-06
333.333 5.26462e-06
333.736 5.45325e-06
334.139 5.64772e-06
334.543 5.84819e-06
334.946 6.0548e-06
335.349 6.26771e-06
335.752 6.48709e-06
336.155 6.71309e-06
336.558 6.94588e-06
336.961 7.18563e-06
337.364 7.43251e-06
337.767 7.68669e-06
338.17 7.94836e-06
338.573 8.21769e-06
338.976 8.49487e-06
339.379 8.78009e-06
339.782 9.07354e-06
340.185 9.37542e-06
340.588 9.68592e-06
340.992 1.00052e-05
341.395 1.03336e-05
341.798 1.06712e-05
342.201 1.10182e-05
342.604 1.1375e-05
343.007 1.17416e-05
343.41 1.21183e-05
343.813 1.25054e-05
344.216 1.2903e-05
344.619 1.33114e-05
345.022 1.37309e-05
345.425 1.41617e-05
345.828 1.4604e-05
346.231 1.50582e-05
346.634 1.55243e-05
347.037 1.60028e-05
347.441 1.64938e-05
347.844 1.69977e-05
348.247 1.75147e-05
348.65 1.8045e-05
349.053 1.8589e-05
349.456 1.9147e-05
349.859 1.97192e-05
350.262 2.03059e-05
350.665 2.09074e-05
351.068 2.15241e-05
351.471 2.21562e-05
351.874 2.2804e-05
352.277 2.34679e-05
352.68 2.41482e-05
353.083 2.48452e-05
353.486 2.55592e-05
353.89 2.62905e-05
354.293 2.70396e-05
354.696 2.78067e-05
355.099 2.85922e-05
355.502 2.93964e-05
355.905 3.02197e-05
356.308 3.10625e-05
356.711 3.1925e-05
357.114 3.28078e-05
357.517 3.37112e-05
357.92 3.46355e-05
358.323 3.55811e-05
358.726 3.65484e-05
359.129 3.75379e-05
359.532 3.85499e-05
359.936 3.95848e-05
360.339 4.0643e-05
360.742 4.1725e-05
361.145 4.28311e-05
361.548 4.39618e-05
361.951 4.51176e-05
362.354 4.62988e-05
362.757 4.75059e-05
363.16 4.87393e-05
363.563 4.99996e-05
363.966 5.12871e-05
364.369 5.26022e-05
364.772 5.39456e-05
365.175 5.53176e-05
365.578 5.67188e-05
365.981 5.81495e-05
366.385 5.96103e-05
366.788 6.11017e-05
367.191 6.26242e-05
367.594 6.41783e-05
367.997 6.57645e-05
368.4 6.73833e-05
368.803 6.90352e-05
369.206 7.07207e-05
369.609 7.24405e-05
370.012 7.41949e-05
370.415 7.59846e-05
370.818 7.78101e-05
371.221 7.9672e-05
371.624 8.15707e-05
372.027 8.3507e-05
372.43 8.54813e-05
372.834 8.74942e-05
373.237 8.95462e-05
373.64 9.16381e-05
374.043 9.37703e-05
374.446 9.59435e-05
374.849 9.81583e-05
375.252 0.000100415
375.655 0.000102715
376.058 0.000105058
376.461 0.000107445
376.864 0.000109877
377.267 0.000112354
377.67 0.000114877
378.073 0.000117446
378.476 0.000120063
378.879 0.000122728
379.283 0.000125441
379.686 0.000128203
380.089 0.000131015
380.492 0.000133878
380.895 0.000136792
381.298 0.000139758
381.701 0.000142776
382.104 0.000145848
382.507 0.000148974
382.91 0.000152155
383.313 0.00015539
383.716 0.000158683
384.119 0.000162032
384.522 0.000165438
384.925 0.000168903
385.328 0.000172427
385.732 0.000176011
386.135 0.000179656
386.538 0.000183362
386.941 0.00018713
387.344 0.00019096
387.747 0.000194855
388.15 0.000198814
388.553 0.000202838
388.956 0.000206928
389.359 0.000211085
389.762 0.00021531
390.165 0.000219603
390.568 0.000223965
390.971 0.000228398
391.374 0.000232901
391.778 0.000237476
392.181 0.000242123
392.584 0.000246844
392.987 0.000251639
393.39 0.000256509
393.793 0.000261455
394.196 0.000266477
394.599 0.000271578
395.002 0.000276756
395.405 0.000282014
395.808 0.000287353
396.211 0.000292772
396.614 0.000298274
397.017 0.000303858
397.42 0.000309526
397.823 0.000315279
398.227 0.000321117
398.63 0.000327042
399.033 0.000333054
399.436 0.000339155
399.839 0.000345345
