W E1 E2
1302.34 1.06271 0.176694
1308.37 1.12589 0.163327
1314.4 1.18692 0.150794
1320.43 1.24788 0.137347
1326.46 1.30983 0.126335
1332.49 1.37054 0.117911
1338.52 1.43253 0.11587
1344.54 1.48874 0.117486
1350.57 1.54161 0.125441
1356.6 1.58603 0.134771
1362.63 1.6253 0.143257
1368.66 1.6588 0.151156
1374.69 1.68948 0.156771
1380.72 1.71505 0.159696
1386.75 1.74122 0.159716
1392.78 1.76554 0.157591
1398.8 1.79036 0.15465
1404.83 1.81445 0.149816
1410.86 1.83805 0.144544
1416.89 1.86336 0.136074
1422.92 1.89159 0.128209
1428.95 1.92163 0.121438
1434.98 1.95642 0.119979
1441.01 1.98672 0.123338
1447.04 2.01574 0.134333
1453.06 2.03145 0.148187
1459.09 2.04065 0.149355
1465.12 2.05011 0.148514
1471.15 2.06311 0.14035
1477.18 2.08025 0.132846
1483.21 2.09824 0.126468
1489.24 2.11706 0.119718
1495.27 2.13861 0.11269
1501.3 2.16311 0.111507
1507.32 2.18402 0.1121
1513.35 2.2029 0.115115
1519.38 2.2173 0.117333
1525.41 2.23256 0.115677
1531.44 2.24972 0.114885
1537.47 2.26619 0.115395
1543.5 2.28275 0.117242
1549.53 2.29732 0.119982
1555.56 2.31042 0.123085
1561.58 2.32027 0.12619
1567.61 2.33074 0.123279
1573.64 2.34631 0.121763
1579.67 2.35983 0.124986
1585.7 2.37095 0.127811
1591.73 2.38134 0.130105
1597.76 2.39079 0.131836
1603.79 2.40022 0.13326
1609.82 2.40916 0.135098
1615.84 2.4163 0.13687
1621.87 2.42361 0.136037
1627.9 2.43226 0.135578
1633.93 2.44021 0.136127
1639.96 2.447 0.136013
1645.99 2.45426 0.135152
1652.02 2.46155 0.134234
1658.05 2.46868 0.133295
1664.08 2.47578 0.131416
1670.1 2.48405 0.129537
1676.13 2.49231 0.128721
1682.16 2.50061 0.128221
1688.19 2.508 0.128434
1694.22 2.51412 0.127307
1700.25 2.52268 0.124893
1706.28 2.53353 0.127341
1712.31 2.539 0.131706
1718.34 2.54187 0.132773
1724.37 2.54332 0.132923
1730.39 2.54626 0.128785
1736.42 2.55067 0.124146
1742.45 2.55768 0.118528
1748.48 2.56818 0.115899
1754.51 2.57609 0.115729
1760.54 2.58296 0.115141
1766.57 2.58977 0.114423
1772.6 2.59651 0.113719
1778.63 2.60343 0.113133
1784.65 2.61 0.113084
1790.68 2.61608 0.11286
1796.71 2.62242 0.112345
1802.74 2.62915 0.112337
1808.77 2.6354 0.112688
1814.8 2.64153 0.112948
1820.83 2.64828 0.113194
1826.86 2.65473 0.115389
1832.89 2.66023 0.117728
1838.91 2.66455 0.120591
1844.94 2.66717 0.122638
1850.97 2.67034 0.123549
1857 2.67373 0.124973
1863.03 2.67602 0.126706
1869.06 2.67741 0.127207
1875.09 2.67889 0.127434
1881.12 2.68027 0.12693
1887.15 2.68105 0.126011
1893.17 2.68248 0.123837
1899.2 2.68403 0.121062
1905.23 2.68704 0.11757
1911.26 2.69135 0.115357
1917.29 2.69462 0.11379
1923.32 2.69773 0.110889
1929.35 2.70265 0.107947
1935.38 2.70761 0.106759
1941.41 2.71248 0.105801
1947.43 2.71685 0.105407
1953.46 2.721 0.10512
1959.49 2.7249 0.104941
1965.52 2.72871 0.105214
1971.55 2.73173 0.10568
1977.58 2.73429 0.10559
1983.61 2.73692 0.105463
1989.64 2.73926 0.105448
1995.67 2.741 0.105214
2001.69 2.74278 0.104525
2007.72 2.74428 0.103565
