W E2
2117.75 0.0261525
2123.7 0.025932
2129.66 0.0257139
2135.61 0.0254983
2141.57 0.025285
2147.53 0.0250742
2153.48 0.0248657
2159.44 0.0246595
2165.39 0.0244556
2171.35 0.0242539
2177.3 0.0240545
2183.26 0.0238572
2189.22 0.0236621
2195.17 0.0234692
2201.13 0.0232783
2207.08 0.0230895
2213.04 0.0229028
2218.99 0.022718
2224.95 0.0225353
2230.91 0.0223545
2236.86 0.0221756
2242.82 0.0219986
2248.77 0.0218236
2254.73 0.0216503
2260.68 0.021479
2266.64 0.0213094
2272.6 0.0211416
2278.55 0.0209756
2284.51 0.0208113
2290.46 0.0206487
2296.42 0.0204878
2302.37 0.0203286
2308.33 0.0201711
2314.29 0.0200151
2320.24 0.0198608
2326.2 0.0197081
2332.15 0.0195569
2338.11 0.0194073
2344.06 0.0192591
2350.02 0.0191125
2355.98 0.0189674
2361.93 0.0188238
2367.89 0.0186816
2373.84 0.0185408
2379.8 0.0184015
2385.75 0.0182635
2391.71 0.018127
2397.67 0.0179918
2403.62 0.0178579
2409.58 0.0177254
2415.53 0.0175941
2421.49 0.0174642
2427.44 0.0173355
2433.4 0.0172081
2439.36 0.017082
2445.31 0.0169571
2451.27 0.0168334
2457.22 0.0167109
2463.18 0.0165896
2469.13 0.0164694
2475.09 0.0163505
2481.05 0.0162326
2487 0.0161159
2492.96 0.0160004
2498.91 0.0158859
2504.87 0.0157725
2510.82 0.0156602
2516.78 0.015549
2522.74 0.0154388
2528.69 0.0153296
2534.65 0.0152215
2540.6 0.0151144
2546.56 0.0150083
2552.52 0.0149032
2558.47 0.0147991
2564.43 0.0146959
2570.38 0.0145937
2576.34 0.0144925
2582.29 0.0143921
2588.25 0.0142928
2594.21 0.0141943
2600.16 0.0140967
2606.12 0.014
2612.07 0.0139042
2618.03 0.0138093
2623.98 0.0137152
2629.94 0.013622
2635.9 0.0135297
2641.85 0.0134381
2647.81 0.0133474
2653.76 0.0132576
2659.72 0.0131685
2665.67 0.0130802
2671.63 0.0129927
2677.59 0.012906
2683.54 0.01282
2689.5 0.0127349
2695.45 0.0126504
2701.41 0.0125667
2707.36 0.0124838
2713.32 0.0124016
2719.28 0.0123201
2725.23 0.0122393
2731.19 0.0121592
2737.14 0.0120798
2743.1 0.0120012
2749.05 0.0119232
2755.01 0.0118458
2760.97 0.0117692
2766.92 0.0116932
2772.88 0.0116178
2778.83 0.0115431
2784.79 0.011469
2790.74 0.0113956
2796.7 0.0113228
2802.66 0.0112506
2808.61 0.0111791
2814.57 0.0111081
2820.52 0.0110377
2826.48 0.010968
2832.43 0.0108988
2838.39 0.0108302
2844.35 0.0107622
2850.3 0.0106947
2856.26 0.0106278
2862.21 0.0105615
2868.17 0.0104957
2874.12 0.0104304
2880.08 0.0103657
2886.04 0.0103016
2891.99 0.0102379
2897.95 0.0101748
2903.9 0.0101122
2909.86 0.0100502
2915.81 0.00998859
2921.77 0.00992751
2927.73 0.00986694
2933.68 0.00980686
2939.64 0.00974727
2945.59 0.00968815
2951.55 0.00962952
2957.51 0.00957136
2963.46 0.00951366
2969.42 0.00945643
2975.37 0.00939966
2981.33 0.00934334
2987.28 0.00928747
2993.24 0.00923205
2999.2 0.00917706
3005.15 0.00912252
3011.11 0.0090684
3017.06 0.00901471
3023.02 0.00896145
3028.97 0.0089086
3034.93 0.00885617
3040.89 0.00880415
3046.84 0.00875254
3052.8 0.00870133
3058.75 0.00865052
3064.71 0.0086001
3070.66 0.00855008
3076.62 0.00850044
3082.58 0.00845119
3088.53 0.00840232
3094.49 0.00835382
3100.44 0.0083057
3106.4 0.00825794
3112.35 0.00821055
3118.31 0.00816352
3124.27 0.00811686
3130.22 0.00807054
3136.18 0.00802458
3142.13 0.00797897
3148.09 0.0079337
3154.04 0.00788878
3160 0.00784419
3165.96 0.00779994
3171.91 0.00775602
3177.87 0.00771243
3183.82 0.00766917
3189.78 0.00762623
3195.73 0.00758361
3201.69 0.00754131
3207.65 0.00749932
3213.6 0.00745765
3219.56 0.00741628
3225.51 0.00737522
3231.47 0.00733446
3237.42 0.007294
3243.38 0.00725383
3249.34 0.00721397
3255.29 0.00717439
3261.25 0.0071351
3267.2 0.0070961
3273.16 0.00705739
3279.11 0.00701895
3285.07 0.00698079
3291.03 0.00694291
3296.98 0.00690531
3302.94 0.00686797
3308.89 0.00683091
3314.85 0.0067941
3320.8 0.00675757
3326.76 0.00672129
3332.72 0.00668528
3338.67 0.00664952
3344.63 0.00661402
3350.58 0.00657877
3356.54 0.00654377
3362.49 0.00650901
3368.45 0.00647451
3374.41 0.00644024
3380.36 0.00640622
3386.32 0.00637244
3392.27 0.00633889
3398.23 0.00630558
3404.19 0.00627251
3410.14 0.00623966
3416.1 0.00620704
3422.05 0.00617465
3428.01 0.00614249
3433.96 0.00611055
3439.92 0.00607883
