W S1
0.001 48.61
0.002 48.61
0.003 48.61
0.004 48.61
0.005 48.61
0.006 48.61
0.007 48.61
0.008 48.61
0.009 48.61
0.010 48.61
0.011 48.61
0.012 48.61
0.013 48.61
0.014 48.61
0.015 48.61
0.016 48.61
0.017 48.61
0.018 48.61
0.019 48.61
0.020 48.61
0.021 48.61
